,Path,Cats,Dogs
5,Persian_103.jpg,1.0,0.0
8,Bombay_72.jpg,1.0,0.0
11,Persian_266.jpg,1.0,0.0
12,Russian_Blue_237.jpg,1.0,0.0
13,Abyssinian_118.jpg,1.0,0.0
16,Persian_125.jpg,1.0,0.0
18,Egyptian_Mau_33.jpg,1.0,0.0
23,Persian_140.jpg,1.0,0.0
24,British_Shorthair_56.jpg,1.0,0.0
25,Abyssinian_43.jpg,1.0,0.0
26,Bengal_111.jpg,1.0,0.0
27,Russian_Blue_206.jpg,1.0,0.0
29,Russian_Blue_201.jpg,1.0,0.0
30,Birman_36.jpg,1.0,0.0
31,Ragdoll_134.jpg,1.0,0.0
32,Persian_37.jpg,1.0,0.0
36,Bombay_175.jpg,1.0,0.0
40,Abyssinian_33.jpg,1.0,0.0
41,Birman_85.jpg,1.0,0.0
44,Bengal_172.jpg,1.0,0.0
46,Maine_Coon_175.jpg,1.0,0.0
47,Sphynx_134.jpg,1.0,0.0
51,Sphynx_39.jpg,1.0,0.0
52,British_Shorthair_248.jpg,1.0,0.0
66,Sphynx_78.jpg,1.0,0.0
67,British_Shorthair_133.jpg,1.0,0.0
69,British_Shorthair_98.jpg,1.0,0.0
71,Ragdoll_79.jpg,1.0,0.0
73,Russian_Blue_109.jpg,1.0,0.0
74,Abyssinian_134.jpg,1.0,0.0
78,Sphynx_37.jpg,1.0,0.0
80,Egyptian_Mau_97.jpg,1.0,0.0
82,Persian_91.jpg,1.0,0.0
84,Maine_Coon_138.jpg,1.0,0.0
86,Russian_Blue_63.jpg,1.0,0.0
90,Bengal_43.jpg,1.0,0.0
91,Egyptian_Mau_40.jpg,1.0,0.0
94,Russian_Blue_27.jpg,1.0,0.0
95,Sphynx_242.jpg,1.0,0.0
102,Persian_256.jpg,1.0,0.0
103,Russian_Blue_36.jpg,1.0,0.0
105,Bengal_65.jpg,1.0,0.0
108,Birman_22.jpg,1.0,0.0
109,Russian_Blue_180.jpg,1.0,0.0
114,Siamese_152.jpg,1.0,0.0
118,Birman_32.jpg,1.0,0.0
122,Bombay_55.jpg,1.0,0.0
123,Persian_160.jpg,1.0,0.0
126,Siamese_144.jpg,1.0,0.0
127,Maine_Coon_262.jpg,1.0,0.0
132,Bengal_193.jpg,1.0,0.0
134,Egyptian_Mau_129.jpg,1.0,0.0
135,Bengal_149.jpg,1.0,0.0
138,Ragdoll_188.jpg,1.0,0.0
139,Bengal_102.jpg,1.0,0.0
140,Siamese_198.jpg,1.0,0.0
142,British_Shorthair_84.jpg,1.0,0.0
143,Russian_Blue_33.jpg,1.0,0.0
144,Birman_157.jpg,1.0,0.0
145,Maine_Coon_57.jpg,1.0,0.0
147,Sphynx_49.jpg,1.0,0.0
149,Persian_260.jpg,1.0,0.0
150,Maine_Coon_79.jpg,1.0,0.0
151,Maine_Coon_150.jpg,1.0,0.0
152,Egyptian_Mau_8.jpg,1.0,0.0
155,Bengal_132.jpg,1.0,0.0
156,Russian_Blue_188.jpg,1.0,0.0
165,Birman_131.jpg,1.0,0.0
167,Egyptian_Mau_70.jpg,1.0,0.0
175,Bengal_92.jpg,1.0,0.0
179,Bengal_7.jpg,1.0,0.0
184,British_Shorthair_272.jpg,1.0,0.0
185,Birman_58.jpg,1.0,0.0
191,Maine_Coon_116.jpg,1.0,0.0
192,Ragdoll_197.jpg,1.0,0.0
196,Ragdoll_106.jpg,1.0,0.0
197,Bengal_184.jpg,1.0,0.0
200,Sphynx_114.jpg,1.0,0.0
202,Russian_Blue_130.jpg,1.0,0.0
203,Egyptian_Mau_11.jpg,1.0,0.0
206,Persian_255.jpg,1.0,0.0
